label,text,label_num
spam,LOSE WEIGHT FAST WITH THIS MAGIC PILL. ORDER AT HTTP://BIT.LY/FAKE,1
spam,FINAL NOTICE: Your car warranty is about to expire. Call (800) 555-0199,1
spam,Alert: Suspicious activity on your bank account. Log in: http://claim-now.net,1
ham,Let's catch up this weekend.,0
spam,Get rich quick! Invest in crypto now. Visit www.win-prizes.com,1
ham,Looking forward to seeing you.,0
ham,Can we reschedule our call to Monday?,0
spam,Reminder: You have (1) unread message from Amazon. View here: http://secure-login.com,1
ham,"I'll be late today, stuck in traffic.",0
ham,Did you see the game last night?,0
spam,Alert: Suspicious activity on your bank account. Log in: http://bit.ly/fake,1
spam,ALERT: SUSPICIOUS ACTIVITY ON YOUR BANK ACCOUNT. LOG IN: WWW.SCAM.COM,1
spam,Get rich quick! Invest in crypto now. Visit www.win-prizes.com,1
spam,MAKE $2000/WEEK WORKING FROM HOME! NO EXPERIENCE NEEDED. APPLY: HTTP://CLAIM-NOW.NET,1
spam,LIMITED TIME OFFER: BUY 1 GET 1 FREE ON ALL PRODUCTS!,1
ham,let's catch up this weekend.,0
ham,I'll be there in 10 minutes.,0
ham,Let's catch up this weekend.,0
ham,"hey, are we still meeting for class?",0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> www.win-prizes.com",1
ham,The meeting is rescheduled to noon.,0
ham,Can we reschedule our call to Monday?,0
spam,Alert: Suspicious activity on your bank account. Log in: http://claim-now.net,1
ham,Thanks for your help yesterday!,0
spam,GET RICH QUICK! INVEST IN CRYPTO NOW. VISIT WWW.SCAM.COM,1
ham,Did you see the game last night?,0
ham,Thanks for your help yesterday!,0
ham,What's for dinner tonight?,0
ham,Looking forward to seeing you.,0
ham,"I'll be late today, stuck in traffic.",0
spam,Hot singles in your area waiting to chat. Text DATEME to 09061701461,1
spam,UNLOCK YOUR EXCLUSIVE REWARD TODAY! DON'T MISS OUT.,1
ham,"I'll be late today, stuck in traffic.",0
ham,Did you see the game last night?,0
spam,Limited time offer: Buy 1 Get 1 Free on all products!,1
spam,YOU HAVE BEEN SELECTED FOR A $1000 GIFT CARD! SURVEY REQUIRED: WWW.FREE-MONEY.ORG,1
ham,Happy Birthday! Hope you have a great day.,0
ham,Please reply to this email to confirm your attendance.,0
spam,FINAL NOTICE: YOUR CAR WARRANTY IS ABOUT TO EXPIRE. CALL 555-0123,1
ham,The meeting is rescheduled to 5 PM.,0
ham,Don't forget to buy milk on your way home.,0
spam,You have been selected for a $1000 gift card! Survey required: http://secure-login.com,1
ham,What's for dinner tonight?,0
ham,Let's catch up this weekend.,0
spam,"Make $50,000/week working from home! No experience needed. Apply: www.win-prizes.com",1
spam,URGENT: Your account has been compromised. Verify at http://bit.ly/fake,1
ham,Don't forget to buy milk on your way home.,0
spam,Reminder: You have (1) unread message from Amazon. View here: www.scam.com,1
ham,"Hey, are we still meeting for class?",0
spam,Your loan of $10000 is approved. Call 88888 to process.,1
ham,Can we reschedule our call to Monday?,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> www.free-money.org",1
spam,URGENT: Your account has been compromised. Verify at http://secure-login.com,1
ham,thanks for your help yesterday!,0
spam,"Your loan of $50,000 is approved. Call +447900000000 to process.",1
ham,Please reply to this email to confirm your attendance.,0
spam,Hot singles in your area waiting to chat. Text DATEME to +447900000000,1
ham,Please reply to this email to confirm your attendance.,0
ham,Are you coming to the gym tonight?,0
ham,I sent the files you asked for.,0
spam,Reminder: You have (1) unread message from Amazon. View here: http://secure-login.com,1
ham,Call me when you get a chance.,0
spam,Alert: Suspicious activity on your bank account. Log in: www.free-money.org,1
spam,Make $500/week working from home! No experience needed. Apply: www.win-prizes.com,1
spam,Unlock your exclusive reward today! Don't miss out.,1
ham,Don't forget to buy milk on your way home.,0
spam,Limited time offer: Buy 1 Get 1 Free on all products!,1
ham,Looking forward to seeing you.,0
spam,Your loan of $10000 is approved. Call 08712400200 to process.,1
ham,the meeting is rescheduled to 5 pm.,0
spam,FINAL NOTICE: Your car warranty is about to expire. Call 555-0123,1
ham,Let's catch up this weekend.,0
spam,Lose weight fast with this magic pill. Order at www.win-prizes.com,1
ham,"Hey, are we still meeting for gym?",0
ham,the meeting is rescheduled to 5 pm.,0
spam,You have been selected for a $1000 gift card! Survey required: http://bit.ly/fake,1
spam,You have been selected for a $1000 gift card! Survey required: www.free-money.org,1
spam,FINAL NOTICE: Your car warranty is about to expire. Call 88888,1
spam,ALERT: SUSPICIOUS ACTIVITY ON YOUR BANK ACCOUNT. LOG IN: HTTP://CLAIM-NOW.NET,1
ham,Call me when you get a chance.,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> www.free-money.org",1
spam,URGENT: Your account has been compromised. Verify at www.win-prizes.com,1
ham,Can we reschedule our call to Monday?,0
ham,I'll be there in 10 minutes.,0
ham,Can you send me the report by noon?,0
spam,You have a secret admirer. Reply YES to reveal.,1
ham,do you want to grab lunch at tonight?,0
ham,have a safe flight!,0
ham,Please reply to this email to confirm your attendance.,0
ham,Did you see the game last night?,0
ham,Don't forget to buy milk on your way home.,0
ham,"I'll be late today, stuck in traffic.",0
ham,Call me when you get a chance.,0
spam,Lose weight fast with this magic pill. Order at http://claim-now.net,1
ham,Please reply to this email to confirm your attendance.,0
ham,Thanks for your help yesterday!,0
spam,LOSE WEIGHT FAST WITH THIS MAGIC PILL. ORDER AT WWW.FREE-MONEY.ORG,1
spam,URGENT: YOUR ACCOUNT HAS BEEN COMPROMISED. VERIFY AT WWW.SCAM.COM,1
spam,Alert: Suspicious activity on your bank account. Log in: www.free-money.org,1
ham,Please reply to this email to confirm your attendance.,0
spam,You have a secret admirer. Reply YES to reveal.,1
ham,Have a safe flight!,0
spam,Unlock your exclusive reward today! Don't miss out.,1
ham,Let's catch up this weekend.,0
spam,GET RICH QUICK! INVEST IN CRYPTO NOW. VISIT WWW.FREE-MONEY.ORG,1
spam,Alert: Suspicious activity on your bank account. Log in: http://claim-now.net,1
spam,Hot singles in your area waiting to chat. Text DATEME to +447900000000,1
spam,UNLOCK YOUR EXCLUSIVE REWARD TODAY! DON'T MISS OUT.,1
spam,Unlock your exclusive reward today! Don't miss out.,1
spam,Unlock your exclusive reward today! Don't miss out.,1
spam,Cash prize waiting for you! Call 08712400200 immediately.,1
spam,Congratulations! You've won a a free vacation. Click http://bit.ly/fake to claim now!,1
spam,You have been selected for a $1000 gift card! Survey required: http://secure-login.com,1
ham,Please reply to this email to confirm your attendance.,0
ham,Are you coming to the class tonight?,0
ham,I sent the files you asked for.,0
ham,I'll be there in 10 minutes.,0
ham,"Just checking in, how are you?",0
ham,Looking forward to seeing you.,0
spam,Congratulations! You've won a $1000 Walmart Gift Card. Click http://claim-now.net to claim now!,1
spam,Alert: Suspicious activity on your bank account. Log in: http://secure-login.com,1
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121,1
spam,FINAL NOTICE: Your car warranty is about to expire. Call 09061701461,1
ham,Did you see the game last night?,0
ham,"Hey, are we still meeting for gym?",0
ham,Are you coming to the dinner tonight?,0
ham,i'll be there in 10 minutes.,0
spam,URGENT: Your account has been compromised. Verify at www.win-prizes.com,1
spam,Make $500/week working from home! No experience needed. Apply: www.free-money.org,1
spam,FINAL NOTICE: YOUR CAR WARRANTY IS ABOUT TO EXPIRE. CALL 08712400200,1
ham,I'll be there in 10 minutes.,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> www.win-prizes.com",1
spam,You have been selected for a $1000 gift card! Survey required: www.scam.com,1
spam,FINAL NOTICE: Your car warranty is about to expire. Call (800) 555-0199,1
ham,Thanks for your help yesterday!,0
spam,Get rich quick! Invest in crypto now. Visit http://secure-login.com,1
spam,Your loan of $2000 is approved. Call 08712400200 to process.,1
spam,YOUR LOAN OF $10000 IS APPROVED. CALL 88888 TO PROCESS.,1
spam,Hot singles in your area waiting to chat. Text DATEME to 555-0123,1
ham,What's for dinner tonight?,0
spam,LOSE WEIGHT FAST WITH THIS MAGIC PILL. ORDER AT HTTP://BIT.LY/FAKE,1
ham,the meeting is rescheduled to monday.,0
ham,Please reply to this email to confirm your attendance.,0
spam,LOSE WEIGHT FAST WITH THIS MAGIC PILL. ORDER AT HTTP://CLAIM-NOW.NET,1
spam,UNLOCK YOUR EXCLUSIVE REWARD TODAY! DON'T MISS OUT.,1
spam,HOT SINGLES IN YOUR AREA WAITING TO CHAT. TEXT DATEME TO 555-0123,1
spam,LIMITED TIME OFFER: BUY 1 GET 1 FREE ON ALL PRODUCTS!,1
spam,REMINDER: YOU HAVE (1) UNREAD MESSAGE FROM AMAZON. VIEW HERE: WWW.SCAM.COM,1
spam,You have been selected for a $1000 gift card! Survey required: www.scam.com,1
ham,Looking forward to seeing you.,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> www.win-prizes.com",1
ham,Call me when you get a chance.,0
ham,The meeting is rescheduled to tonight.,0
ham,I'll be there in 10 minutes.,0
spam,CASH PRIZE WAITING FOR YOU! CALL (800) 555-0199 IMMEDIATELY.,1
ham,The meeting is rescheduled to 3:00 PM.,0
spam,You have been selected for a $1000 gift card! Survey required: www.free-money.org,1
ham,"Just checking in, how are you?",0
ham,did you see the game last night?,0
ham,Did you see the game last night?,0
spam,Limited time offer: Buy 1 Get 1 Free on all products!,1
ham,can we reschedule our call to monday?,0
ham,Let's catch up this weekend.,0
ham,Looking forward to seeing you.,0
spam,Make $5000/week working from home! No experience needed. Apply: http://claim-now.net,1
ham,do you want to grab lunch at tonight?,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121,1
spam,FREE ENTRY IN 2 A WKLY COMP TO WIN FA CUP FINAL TKTS 21ST MAY 2005. TEXT FA TO 87121,1
ham,"Hey, are we still meeting for practice?",0
spam,You have a secret admirer. Reply YES to reveal.,1
ham,"Just checking in, how are you?",0
spam,Unlock your exclusive reward today! Don't miss out.,1
ham,Can you send me the report by tomorrow morning?,0
ham,Looking forward to seeing you.,0
ham,"i'll be late today, stuck in traffic.",0
ham,Did you see the game last night?,0
ham,Thanks for your help yesterday!,0
spam,CASH PRIZE WAITING FOR YOU! CALL 09061701461 IMMEDIATELY.,1
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> www.scam.com",1
ham,Don't forget to buy milk on your way home.,0
ham,Thanks for your help yesterday!,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> www.free-money.org",1
ham,Let's catch up this weekend.,0
ham,Can you send me the report by 3:00 PM?,0
spam,LOSE WEIGHT FAST WITH THIS MAGIC PILL. ORDER AT WWW.FREE-MONEY.ORG,1
ham,Can we reschedule our call to Monday?,0
ham,"Just checking in, how are you?",0
ham,let's catch up this weekend.,0
spam,Your loan of $5000 is approved. Call 555-0123 to process.,1
ham,Have a safe flight!,0
ham,What's for dinner tonight?,0
ham,Are you coming to the dinner tonight?,0
spam,FINAL NOTICE: Your car warranty is about to expire. Call 555-0123,1
ham,I'll be there in 10 minutes.,0
ham,Please reply to this email to confirm your attendance.,0
ham,Do you want to grab lunch at 5 PM?,0
ham,Thanks for your help yesterday!,0
spam,Reminder: You have (1) unread message from Amazon. View here: www.scam.com,1
ham,Can you send me the report by tonight?,0
ham,I sent the files you asked for.,0
spam,Congratulations! You've won a iPhone 15. Click www.win-prizes.com to claim now!,1
spam,"XXXMOBILEMOVIECLUB: TO USE YOUR CREDIT, CLICK THE WAP LINK IN THE NEXT TXT MESSAGE OR CLICK HERE>> WWW.SCAM.COM",1
ham,Thanks for your help yesterday!,0
ham,What's for dinner tonight?,0
ham,did you see the game last night?,0
spam,FINAL NOTICE: Your car warranty is about to expire. Call (800) 555-0199,1
ham,Let's catch up this weekend.,0
ham,Looking forward to seeing you.,0
ham,call me when you get a chance.,0
spam,Limited time offer: Buy 1 Get 1 Free on all products!,1
ham,Did you see the game last night?,0
ham,Thanks for your help yesterday!,0
spam,Alert: Suspicious activity on your bank account. Log in: http://secure-login.com,1
spam,GET RICH QUICK! INVEST IN CRYPTO NOW. VISIT HTTP://BIT.LY/FAKE,1
ham,What's for dinner tonight?,0
ham,did you see the game last night?,0
ham,Happy Birthday! Hope you have a great day.,0
spam,Make $2000/week working from home! No experience needed. Apply: www.free-money.org,1
ham,Are you coming to the class tonight?,0
ham,I'll be there in 10 minutes.,0
spam,"Make $50,000/week working from home! No experience needed. Apply: http://claim-now.net",1
ham,Let's catch up this weekend.,0
ham,Did you see the game last night?,0
ham,Have a safe flight!,0
spam,You have a secret admirer. Reply YES to reveal.,1
ham,Have a safe flight!,0
ham,What's for dinner tonight?,0
spam,URGENT: Your account has been compromised. Verify at http://secure-login.com,1
spam,Cash prize waiting for you! Call +447900000000 immediately.,1
spam,Make $2000/week working from home! No experience needed. Apply: www.win-prizes.com,1
spam,Limited time offer: Buy 1 Get 1 Free on all products!,1
spam,YOU HAVE BEEN SELECTED FOR A $1000 GIFT CARD! SURVEY REQUIRED: HTTP://SECURE-LOGIN.COM,1
ham,Let's catch up this weekend.,0
ham,Let's catch up this weekend.,0
ham,Let's catch up this weekend.,0
spam,You have been selected for a $1000 gift card! Survey required: www.scam.com,1
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121,1
ham,i'll be there in 10 minutes.,0
spam,FINAL NOTICE: YOUR CAR WARRANTY IS ABOUT TO EXPIRE. CALL +447900000000,1
ham,I'll be there in 10 minutes.,0
spam,LIMITED TIME OFFER: BUY 1 GET 1 FREE ON ALL PRODUCTS!,1
ham,call me when you get a chance.,0
ham,Did you see the game last night?,0
spam,UNLOCK YOUR EXCLUSIVE REWARD TODAY! DON'T MISS OUT.,1
spam,Reminder: You have (1) unread message from Amazon. View here: www.scam.com,1
spam,You have been selected for a $1000 gift card! Survey required: http://claim-now.net,1
ham,I'll be there in 10 minutes.,0
ham,Have a safe flight!,0
ham,The meeting is rescheduled to 3:00 PM.,0
spam,Alert: Suspicious activity on your bank account. Log in: www.win-prizes.com,1
ham,don't forget to buy milk on your way home.,0
ham,Looking forward to seeing you.,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121,1
ham,Please reply to this email to confirm your attendance.,0
ham,call me when you get a chance.,0
spam,Unlock your exclusive reward today! Don't miss out.,1
spam,Alert: Suspicious activity on your bank account. Log in: www.scam.com,1
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121,1
ham,"I'll be late today, stuck in traffic.",0
spam,Alert: Suspicious activity on your bank account. Log in: http://bit.ly/fake,1
ham,I sent the files you asked for.,0
spam,Lose weight fast with this magic pill. Order at http://claim-now.net,1
spam,YOU HAVE BEEN SELECTED FOR A $1000 GIFT CARD! SURVEY REQUIRED: WWW.WIN-PRIZES.COM,1
spam,You have been selected for a $1000 gift card! Survey required: http://secure-login.com,1
ham,Call me when you get a chance.,0
spam,Get rich quick! Invest in crypto now. Visit http://claim-now.net,1
spam,Cash prize waiting for you! Call 555-0123 immediately.,1
